생산일자,설비명,MES_NO,생산모델,두께_좌,두께_중,두께_우,무게,통기도,인장강도,생산시간_분,로스시간_분,판정
2026-07-06,C21,4001,P41 (A07KD1-620),18.4,18.2,18.7,13.9,724,92,14,0,OK
2026-07-06,C21,4002,P41 (A07KD1-620),18,18,17.9,15.6,594,115,9,0,OK
2026-07-06,C21,4003,P41 (A07KD1-620),17.6,17.9,18,13.9,860,84,12,12,OK
2026-07-06,C21,4004,P41 (A07KD1-620),18.2,17.9,18,14.6,791,88,14,12,OK
2026-07-06,C22,4005,P42 (A07KD2-640),18.3,18.1,18.3,15.1,754,100,13,0,OK
2026-07-06,C22,4006,P42 (A07KD2-640),18.4,18.3,18.4,13.7,629,104,12,5,OK
2026-07-06,C22,4007,P42 (A07KD2-640),18.8,18.7,18.4,13.8,765,93,10,12,OK
2026-07-06,C23,4008,P43 (B03LM1-580),17.8,17.7,17.6,15.5,904,117,10,0,OK
2026-07-06,C23,4009,P43 (B03LM1-580),18.1,18.1,17.9,15.6,868,100,10,3,OK
2026-07-06,C23,4010,P43 (B03LM1-580),17.4,17.1,17.5,14.3,913,76,11,12,OK
2026-07-06,C24,4011,P45 (C11NF3-700),18.3,18.3,18.5,14.5,756,68,12,5,NG
2026-07-06,C24,4012,P45 (C11NF3-700),18.5,18.2,18.4,14.4,600,72,11,0,OK
2026-07-06,C24,4013,P45 (C11NF3-700),21.4,17.7,18,14.1,496,87,11,0,NG
2026-07-07,C21,4014,P42 (A07KD2-640),18.8,18.5,18.5,14.3,726,97,10,3,OK
2026-07-07,C21,4015,P42 (A07KD2-640),18.7,18.5,18.1,14.2,570,99,10,0,OK
2026-07-07,C21,4016,P42 (A07KD2-640),18.9,18.8,18.8,13.5,604,85,9,0,OK
2026-07-07,C22,4017,P43 (B03LM1-580),17.5,18.1,17.7,14.8,874,100,10,3,OK
2026-07-07,C22,4018,P43 (B03LM1-580),17.5,17.7,17.2,14.3,637,109,13,0,OK
2026-07-07,C22,4019,P43 (B03LM1-580),17.7,17.8,17.7,15.7,777,102,10,0,OK
2026-07-07,C23,4020,P45 (C11NF3-700),18.7,18.7,18.6,14.1,491,101,11,0,OK
2026-07-07,C23,4021,P45 (C11NF3-700),18.6,18.4,18.6,14.1,458,72,10,0,OK
2026-07-07,C24,4022,P41 (A07KD1-620),17.5,17.8,17.7,14.3,710,89,9,0,OK
2026-07-07,C24,4023,P41 (A07KD1-620),17.7,18,18.1,15.5,595,77,14,0,OK
2026-07-07,C24,4024,P41 (A07KD1-620),18,17.7,17.7,14.7,703,106,11,0,OK
2026-07-07,C24,4025,P41 (A07KD1-620),18.6,18.2,18.3,15.5,592,76,13,0,OK
2026-07-07,C24,4026,P41 (A07KD1-620),17.6,18,17.7,15.1,875,114,12,5,OK
2026-07-08,C21,4027,P43 (B03LM1-580),17.6,17.7,17.7,15.7,739,87,9,0,OK
2026-07-08,C21,4028,P43 (B03LM1-580),17.3,17.4,17.3,15.7,718,96,10,8,OK
2026-07-08,C21,4029,P43 (B03LM1-580),17.5,17.5,17.6,15.6,814,82,10,0,OK
2026-07-08,C21,4030,P43 (B03LM1-580),17.4,17.7,17.8,14.2,651,100,11,0,OK
