생산일자,설비명,MES_NO,생산모델,두께_좌,두께_중,두께_우,무게,통기도,인장강도,생산시간_분,로스시간_분,판정
2026-06-01,C21,4001,P41 (A07KD1-620),18.4,18.2,18.7,13.9,724,92,14,0,OK
2026-06-01,C21,4002,P41 (A07KD1-620),18.0,18.0,17.9,15.6,594,115,9,0,OK
2026-06-01,C21,4003,P41 (A07KD1-620),17.6,17.9,18.0,13.9,860,84,12,12,OK
2026-06-01,C21,4004,P41 (A07KD1-620),18.2,17.9,18.0,14.6,791,88,14,12,OK
2026-06-01,C22,4005,P42 (A07KD2-640),18.3,18.1,18.3,15.1,754,100,13,0,OK
2026-06-01,C22,4006,P42 (A07KD2-640),18.4,18.3,18.4,13.7,629,104,12,5,OK
2026-06-01,C22,4007,P42 (A07KD2-640),18.8,18.7,18.4,13.8,765,93,10,12,OK
2026-06-01,C23,4008,P43 (B03LM1-580),17.8,17.7,17.6,15.5,904,117,10,0,OK
2026-06-01,C23,4009,P43 (B03LM1-580),17.8,17.5,17.9,14.0,684,94,10,0,OK
2026-06-01,C23,4010,P43 (B03LM1-580),18.1,18.1,17.9,15.6,868,100,10,3,OK
2026-06-01,C23,4011,P43 (B03LM1-580),17.4,17.5,17.5,15.2,604,107,13,0,OK
2026-06-01,C23,4012,P43 (B03LM1-580),17.4,17.1,17.5,14.3,913,76,11,12,OK
2026-06-01,C24,4013,P45 (C11NF3-700),18.3,18.3,18.5,14.5,756,68,12,5,NG
2026-06-01,C24,4014,P45 (C11NF3-700),18.5,18.2,18.4,14.4,600,72,11,0,OK
2026-06-01,C24,4015,P45 (C11NF3-700),21.4,17.7,18.0,14.1,496,87,11,0,NG
2026-06-02,C21,4016,P42 (A07KD2-640),18.8,18.5,18.5,14.3,726,97,10,3,OK
2026-06-02,C21,4017,P42 (A07KD2-640),18.7,18.5,18.1,14.2,570,99,10,0,OK
2026-06-02,C21,4018,P42 (A07KD2-640),18.9,18.8,18.8,13.5,604,85,9,0,OK
2026-06-02,C22,4019,P43 (B03LM1-580),17.5,18.1,17.7,14.8,874,100,10,3,OK
2026-06-02,C22,4020,P43 (B03LM1-580),17.5,17.7,17.2,14.3,637,109,13,0,OK
2026-06-02,C22,4021,P43 (B03LM1-580),17.7,17.8,17.7,15.7,777,102,10,0,OK
2026-06-02,C23,4022,P45 (C11NF3-700),18.7,18.7,18.6,14.1,491,101,11,0,OK
2026-06-02,C23,4023,P45 (C11NF3-700),18.5,18.3,18.0,14.2,679,101,13,0,OK
2026-06-02,C23,4024,P45 (C11NF3-700),18.8,18.6,19.0,14.8,515,95,10,0,OK
2026-06-02,C23,4025,P45 (C11NF3-700),18.6,18.4,18.6,14.1,458,72,10,0,OK
2026-06-02,C24,4026,P41 (A07KD1-620),17.5,17.8,17.7,14.3,710,89,9,0,OK
2026-06-02,C24,4027,P41 (A07KD1-620),17.7,18.0,18.1,15.5,595,77,14,0,OK
2026-06-02,C24,4028,P41 (A07KD1-620),18.0,17.7,17.7,14.7,703,106,11,0,OK
2026-06-02,C24,4029,P41 (A07KD1-620),18.6,18.2,18.3,15.5,592,76,13,0,OK
2026-06-02,C24,4030,P41 (A07KD1-620),17.6,18.0,17.7,15.1,875,114,12,5,OK
2026-06-03,C21,4031,P43 (B03LM1-580),17.6,17.7,17.7,15.7,739,87,9,0,OK
2026-06-03,C21,4032,P43 (B03LM1-580),17.3,17.4,17.3,15.7,718,96,10,8,OK
2026-06-03,C21,4033,P43 (B03LM1-580),17.5,17.5,17.6,15.6,814,82,10,0,OK
2026-06-03,C21,4034,P43 (B03LM1-580),17.4,17.7,17.8,14.2,651,100,11,0,OK
2026-06-03,C21,4035,P43 (B03LM1-580),18.0,18.1,17.6,15.8,839,84,9,8,OK
2026-06-03,C22,4036,P45 (C11NF3-700),18.6,18.4,18.3,14.6,757,70,10,0,OK
2026-06-03,C22,4037,P45 (C11NF3-700),18.6,18.8,18.6,15.2,607,70,13,0,OK
2026-06-03,C22,4038,P45 (C11NF3-700),18.3,18.2,18.6,14.3,717,66,12,0,NG
2026-06-03,C23,4039,P41 (A07KD1-620),18.1,18.0,18.2,14.7,781,76,11,3,OK
2026-06-03,C23,4040,P41 (A07KD1-620),18.1,18.0,18.0,14.8,864,98,10,0,OK
2026-06-03,C23,4041,P41 (A07KD1-620),18.3,18.1,18.0,15.5,856,91,10,0,OK
2026-06-03,C24,4042,P42 (A07KD2-640),18.6,18.4,18.1,14.0,579,90,11,0,OK
2026-06-03,C24,4043,P42 (A07KD2-640),18.6,18.3,18.5,14.7,832,110,9,5,OK
2026-06-03,C24,4044,P42 (A07KD2-640),18.5,18.7,18.8,14.4,849,89,9,3,OK
2026-06-04,C21,4045,P45 (C11NF3-700),18.4,18.5,18.5,14.7,487,93,11,12,OK
2026-06-04,C21,4046,P45 (C11NF3-700),18.3,17.9,18.0,13.8,564,94,10,0,OK
2026-06-04,C21,4047,P45 (C11NF3-700),18.4,18.0,18.2,14.0,617,71,12,0,OK
2026-06-04,C21,4048,P45 (C11NF3-700),18.7,18.6,18.9,13.2,681,86,14,0,OK
2026-06-04,C21,4049,P45 (C11NF3-700),18.4,18.4,18.5,13.8,681,104,9,0,OK
2026-06-04,C22,4050,P41 (A07KD1-620),18.3,18.3,18.5,13.5,585,106,10,0,OK
2026-06-04,C22,4051,P41 (A07KD1-620),17.7,17.9,17.9,12.0,792,117,13,12,NG
2026-06-04,C22,4052,P41 (A07KD1-620),18.2,18.2,17.8,13.9,600,78,11,12,OK
2026-06-04,C23,4053,P42 (A07KD2-640),18.5,18.4,18.6,13.4,658,91,14,0,OK
2026-06-04,C23,4054,P42 (A07KD2-640),18.5,18.6,18.8,15.5,827,102,12,0,OK
2026-06-04,C23,4055,P42 (A07KD2-640),18.4,18.6,18.6,14.9,586,76,14,0,OK
